Sample in Buffer,Sample in Window,TRIGGER,system_i/system_ila_0/inst/probe0_1[3:0],system_i/system_ila_0/inst/probe1_1[3:0],system_i/system_ila_0/inst/probe2_1[3:0],system_i/system_ila_0/inst/probe3_1,system_i/system_ila_0/inst/probe4_1
432,48,0,1,1,1,1,1
433,49,0,1,1,1,1,1
434,50,0,1,1,1,1,1
435,51,0,1,1,1,1,1
436,52,0,1,1,1,1,1
437,53,0,1,1,1,1,1
438,54,0,1,1,1,1,1
439,55,0,1,1,1,1,1
440,56,0,1,1,1,1,1
441,57,0,1,1,1,1,1
442,58,0,1,1,1,1,1
443,59,0,1,1,1,1,1
444,60,0,1,1,1,1,1
445,61,0,1,1,1,1,1
446,62,0,1,1,1,1,1
447,63,0,1,1,1,1,1
448,64,0,1,1,1,1,1
449,65,0,1,1,1,1,1
450,66,0,1,1,1,1,1
451,67,0,1,1,1,1,1
452,68,0,1,1,1,1,1
453,69,0,1,1,1,1,1
454,70,0,1,1,1,1,1
455,71,0,1,1,1,1,1
456,72,0,1,1,1,1,1
457,73,0,1,1,1,1,1
458,74,0,1,1,1,1,1
459,75,0,1,1,1,1,1
460,76,0,1,1,1,1,1
461,77,0,1,1,1,1,1
462,78,0,1,1,1,1,1
463,79,0,1,1,1,1,1
464,80,0,1,1,1,1,1
465,81,0,1,1,1,1,1
466,82,0,1,1,1,1,1
467,83,0,1,1,1,1,1
468,84,0,1,1,1,1,1
469,85,0,1,1,1,1,1
470,86,0,1,1,1,1,1
471,87,0,1,1,1,1,1
472,88,0,1,1,1,1,1
473,89,0,1,1,1,1,1
474,90,0,1,1,1,1,1
475,91,0,1,1,1,1,1
476,92,0,1,1,1,1,1
477,93,0,1,1,1,1,1
478,94,0,1,1,1,1,1
479,95,0,1,1,1,1,1
480,96,0,1,1,1,1,1
481,97,0,1,1,1,1,1
482,98,0,1,1,1,1,1
483,99,0,1,1,1,1,1
484,100,1,1,1,1,1,1
485,101,0,1,1,1,1,1
486,102,0,1,1,1,1,1
487,103,0,1,1,1,1,1
488,104,0,1,1,1,1,1
489,105,0,1,1,1,1,1
490,106,0,1,1,1,1,1
491,107,0,1,1,1,1,1
492,108,0,1,1,1,1,1
493,109,0,1,1,1,1,1
494,110,0,1,1,1,1,1
495,111,0,1,1,1,1,1
496,112,0,1,1,1,1,1
497,113,0,1,1,1,1,1
498,114,0,1,1,1,1,1
499,115,0,1,1,1,1,1
500,116,0,1,1,1,1,1
501,117,0,1,1,1,1,1
502,118,0,1,1,1,1,1
503,119,0,1,1,1,1,1
504,120,0,1,1,1,1,1
505,121,0,1,1,1,1,1
506,122,0,1,1,1,1,1
507,123,0,1,1,1,1,1
508,124,0,1,1,1,1,1
509,125,0,1,1,1,1,1
510,126,0,1,1,1,1,1
511,127,0,1,1,1,1,1
512,0,0,1,1,1,1,1
513,1,0,1,1,1,1,1
514,2,0,1,1,1,1,1
515,3,0,1,1,1,1,1
516,4,0,1,1,1,1,1
517,5,0,1,1,1,1,1
518,6,0,1,1,1,1,1
519,7,0,1,1,1,1,1
520,8,0,1,1,1,1,1
521,9,0,1,1,1,1,1
522,10,0,1,1,1,1,1
523,11,0,1,1,1,1,1
524,12,0,1,1,1,1,1
525,13,0,1,1,1,1,1
526,14,0,1,1,1,1,1
527,15,0,1,1,1,1,1
528,16,0,1,1,1,1,1
529,17,0,1,1,1,1,1
530,18,0,1,1,1,1,1
531,19,0,1,1,1,1,1
